"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"WP3630","WP3630","NAD metabolism, sirtuins and aging","3/604","11/9131",0.0318608395420942,0.148643553710724,0.116806046436639,"4790/2308/2309",3
"WP5473","WP5473","Cytokine-cytokine receptor interaction","25/604","256/9131",0.0319786010578353,0.148643553710724,0.116806046436639,"3600/3570/7852/643/1236/3575/6351/57007/50615/94/3604/1439/943/4803/970/3554/3556/6367/8808/958/8744/8792/3574/3566/246778",25
"WP4538","WP4538","Regulatory circuits of STAT3 signaling","10/604","78/9131",0.0321055313813407,0.148643553710724,0.116806046436639,"3570/3575/5156/50615/3563/1439/3716/1438/5788/5600",10
"WP5265","WP5265","Neurogenesis regulation in the olfactory epithelium","8/604","57/9131",0.0327998079241182,0.148643553710724,0.116806046436639,"6925/6929/23129/1600/182/4803/23462/3398",8
"WP4331","WP4331","Neovascularization processes","6/604","37/9131",0.0328532120257088,0.148643553710724,0.116806046436639,"7852/4790/94/5971/182/4088",6
"WP4698","WP4698","Vitamin D-sensitive calcium signaling in depression","6/604","37/9131",0.0328532120257088,0.148643553710724,0.116806046436639,"596/6256/3708/2915/493/2902",6
"WP619","WP619","Type II interferon signaling","6/604","37/9131",0.0328532120257088,0.148643553710724,0.116806046436639,"3662/3383/4261/2633/3716/8651",6
"WP384","WP384","Apoptosis modulation by HSP70","4/604","19/9131",0.0331450383914259,0.148922498883699,0.117025245197798,"4790/840/4214/3303",4
"WP3303","WP3303","RAC1/PAK1/p38/MMP2 pathway","9/604","68/9131",0.0341785860570093,0.151659998107933,0.119176407851837,"4790/4792/2308/5829/6776/5600/840/5879/5290",9
"WP2643","WP2643","Nanoparticle-mediated activation of receptor signaling","5/604","28/9131",0.0344575266180311,0.151659998107933,0.119176407851837,"5293/5604/5829/5600/10000",5
"WP3851","WP3851","TLR4 signaling and tolerance","5/604","28/9131",0.0344575266180311,0.151659998107933,0.119176407851837,"4790/4792/7187/3635/7189",5
"WP4630","WP4630","Measles virus infection","15/604","136/9131",0.0348257122067152,0.152244836471248,0.119635981478261,"7128/596/598/4790/4792/7187/6504/868/3716/5293/6776/7189/1021/3303/5290",15
"WP5055","WP5055","Burn wound healing","13/604","113/9131",0.0353619233296742,0.153551438887914,0.120662726727182,"3600/7128/596/7852/3383/4790/4792/2200/43/8038/7098/4088/5216",13
"WP2038","WP2038","Microtubule cytoskeleton regulation","7/604","48/9131",0.0370443685190386,0.158849852049562,0.124826289009905,"7074/5578/23332/5728/1808/2776/5879",7
"WP138","WP138","Androgen receptor signaling","11/604","91/9131",0.0370731493964201,0.158849852049562,0.124826289009905,"64800/860/8554/2308/5728/8202/1026/9612/4088/5879/6605",11
"WP4205","WP4205","MET in type 1 papillary renal cell carcinoma","8/604","59/9131",0.0392674324232013,0.166323875073301,0.130699473945179,"5062/2549/1026/5293/5604/5879/10000/5290",8
"WP516","WP516","Hypertrophy model","4/604","20/9131",0.0393316118797759,0.166323875073301,0.130699473945179,"3554/1977/6935/467",4
"WP306","WP306","Focal adhesion","20/604","199/9131",0.0398206996692094,0.167298653805055,0.131465467807438,"7410/60/3918/596/5578/5062/330/5156/2013/4659/3694/5728/3055/5293/5604/5829/5879/10000/5290/329",20
"WP1971","WP1971","Integrated cancer pathway","7/604","49/9131",0.0408563981052242,0.169449292141539,0.133155467508929,"596/5728/1026/3716/5451/571/4088",7
"WP5300","WP5300","TROP2 regulatory signaling","7/604","49/9131",0.0408563981052242,0.169449292141539,0.133155467508929,"596/5578/4363/4790/94/5728/5879",7
"WP3298","WP3298","Melatonin metabolism and effects","6/604","39/9131",0.0412854380396476,0.170138079055108,0.133696725264162,"5578/4790/2308/43/1454/7189",6
"WP4906","WP4906","3q29 copy number variation syndrome","9/604","71/9131",0.0434447945038677,0.1779036838228,0.139799038943159,"5062/200931/401109/23077/5829/7037/6776/840/131540",9
"WP1422","WP1422","Sphingolipid pathway","5/604","30/9131",0.0448655014071093,0.178281415135738,0.140095865143678,"9517/56624/253782/79603/9331",5
"WP4494","WP4494","Selective expression of chemokine receptors during T-cell polarization","5/604","30/9131",0.0448655014071093,0.178281415135738,0.140095865143678,"7852/1236/6351/2833/3566",5
"WP453","WP453","Inflammatory response pathway","5/604","30/9131",0.0448655014071093,0.178281415135738,0.140095865143678,"3918/942/958/941/3566",5
"WP4941","WP4941","GPR143 in melanocytes and retinal pigment epithelium cells","5/604","30/9131",0.0448655014071093,0.178281415135738,0.140095865143678,"115/409/3708/2776/408",5
"WP5373","WP5373","Osteoarthritic chondrocyte hypertrophy","7/604","50/9131",0.0449147923757733,0.178281415135738,0.140095865143678,"5578/860/4790/5971/4803/10000/5290",7
"WP363","WP363","Wnt signaling","7/604","51/9131",0.0492234158993313,0.194192378578459,0.152598908083293,"6925/5578/409/6929/1454/5879/1021",7
"WP3858","WP3858","Toll-like receptor signaling related to MyD88","5/604","31/9131",0.050700119764536,0.198805924167605,0.156224292480197,"4790/5971/7187/7098/7189",5
"WP2005","WP2005","miR-targeted genes in muscle cell","35/604","399/9131",0.0517276052218571,0.201613015533383,0.158430141548237,"27154/5795/3918/596/7474/7127/8992/64778/391/10672/114793/8202/1026/10772/1829/574406/822/5792/1788/29957/23649/1871/27230/10114/407040/81539/1977/571/1075/6935/2580/1021/84823/10971/144402",35
"WP4141","WP4141","PI3K/AKT/mTOR - vitamin D3 signaling","4/604","22/9131",0.0535403772808504,0.206194191075656,0.162030089139416,"6256/942/941/5290",4
"WP4537","WP4537","Hippo-YAP signaling","4/604","22/9131",0.0535403772808504,0.206194191075656,0.162030089139416,"10397/9448/23012/6788",4
"WP4298","WP4298","Acute viral myocarditis","10/604","86/9131",0.0567442176748278,0.215508395561884,0.16934931270868,"60/596/7852/598/6442/3716/7098/840/941/8651",10
"WP2112","WP2112","IL17 signaling","5/604","32/9131",0.0569581694607143,0.215508395561884,0.16934931270868,"4790/7187/3716/7189/5290",5
"WP3844","WP3844","PI3K-AKT-mTOR signaling and therapeutic opportunities in prostate cancer","5/604","32/9131",0.0569581694607143,0.215508395561884,0.16934931270868,"7942/2308/5728/2309/5290",5
"WP5356","WP5356","Affected pathways in Duchenne muscular dystrophy","9/604","75/9131",0.0582246260756695,0.219019378319524,0.172108288828325,"4790/4792/6442/8082/3708/51669/7416/7135/4088",9
"WP2840","WP2840","Hair follicle development: cytodifferentiation - stage 3 of 3","10/604","87/9131",0.0605086832296602,0.225281368055648,0.177029042171769,"4345/7474/6925/4790/1523/6929/864/7704/3516/26018",10
"WP4754","WP4754","IL18 signaling","25/604","273/9131",0.0605857156749347,0.225281368055648,0.177029042171769,"7128/596/5578/3383/598/6351/330/7127/860/4790/4792/9308/274/7185/3757/5728/9399/2023/567/8837/3315/8125/7189/84823/467",25
"WP262","WP262","Ebstein-Barr virus LMP1 signaling","4/604","23/9131",0.0615549554389606,0.226284410051179,0.177817245675945,"4790/4792/7185/7189",4
"WP712","WP712","Estrogen signaling","4/604","23/9131",0.0615549554389606,0.226284410051179,0.177817245675945,"596/4790/5604/5290",4
"WP4329","WP4329","miRNA role in immune response in sepsis","8/604","65/9131",0.0635735090711722,0.227626765898103,0.178872086437458,"3383/6351/4790/4792/7412/5971/7187/7189",8
"WP4880","WP4880","Host-pathogen interaction of human coronaviruses - interferon induction","5/604","33/9131",0.0636393962727679,0.227626765898103,0.178872086437458,"4790/4792/7187/3716/7189",5
"WP4950","WP4950","16p11.2 distal deletion syndrome","5/604","33/9131",0.0636393962727679,0.227626765898103,0.178872086437458,"7410/7185/7186/10806/3732",5
"WP5490","WP5490","Inhibition of GNAQ-regulated signaling in uveal melanoma","5/604","33/9131",0.0636393962727679,0.227626765898103,0.178872086437458,"55233/2776/5293/10000/5290",5
"WP5097","WP5097","CCL18 signaling","7/604","54/9131",0.0636792034429005,0.227626765898103,0.178872086437458,"9839/2185/7412/5728/6513/960/467",7
"WP2324","WP2324","AGE/RAGE pathway","8/604","66/9131",0.0683671588068613,0.242673738731833,0.190696194269056,"5578/4790/4792/2308/5604/6776/4088/5879",8
"WP195","WP195","IL1 signaling","7/604","55/9131",0.069013860783087,0.242673738731833,0.190696194269056,"4790/4792/3554/3556/5604/4214/7189",7
"WP2272","WP2272","Pathogenic Escherichia coli infection","7/604","55/9131",0.069013860783087,0.242673738731833,0.190696194269056,"60/5578/8440/9181/84617/10092/10971",7
"WP4925","WP4925","Unfolded protein response","4/604","24/9131",0.0701645553088093,0.245386309647565,0.192827767932602,"596/5366/22926/51493",4
"WP5358","WP5358","JAK-STAT signaling in the regulation of beta cells","5/604","34/9131",0.0707416151776285,0.246074328064116,0.193368421792839,"3570/8835/6776/10000/8651",5
"WP501","WP501","GPCRs, class C metabotropic glutamate, pheromone","3/604","15/9131",0.0722522960685049,0.248655508278312,0.195396746926584,"846/2915/55890",3
"WP5182","WP5182","Pro-survival signaling of neuroprotectin D1","3/604","15/9131",0.0722522960685049,0.248655508278312,0.195396746926584,"330/7186/840",3
"WP2328","WP2328","Allograft rejection","10/604","90/9131",0.0727585395663216,0.249072884123863,0.19572472631876,"643/5156/942/3109/3123/3113/958/840/3112/941",10
"WP5348","WP5348","11p11.2 copy number variation syndrome ","7/604","56/9131",0.0746078713993553,0.254059435765173,0.199643223744535,"93185/5978/3109/3732/9537/90139/284359",7
"WP400","WP400","p38 MAPK signaling","5/604","35/9131",0.0782607911426688,0.263298593066722,0.206903474255636,"7186/5879/3315/4214/4209",5
"WP2865","WP2865","IL1 and megakaryocytes in obesity","4/604","25/9131",0.0793558356228914,0.263298593066722,0.206903474255636,"3383/4790/3554/5290",4
"WP3668","WP3668","Hypothesized pathways in pathogenesis of cardiovascular disease","4/604","25/9131",0.0793558356228914,0.263298593066722,0.206903474255636,"860/2200/7049/4088",4
"WP3879","WP3879","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression","4/604","25/9131",0.0793558356228914,0.263298593066722,0.206903474255636,"5293/5604/1977/5290",4
"WP4483","WP4483","Relationship between inflammation, COX-2 and EGFR","4/604","25/9131",0.0793558356228914,0.263298593066722,0.206903474255636,"80142/5293/10000/5290",4
"WP4566","WP4566","Translation inhibitors in chronically activated PDGFRA cells","6/604","46/9131",0.0807841403454439,0.266670095936236,0.209552845256979,"6195/5578/5604/1977/10000/5290",6
"WP2916","WP2916","Interactome of polycomb repressive complex 2 (PRC2) ","3/604","16/9131",0.0847242388733963,0.274082912755437,0.215377933557108,"3720/8726/8178",3
"WP3969","WP3969","H19, Rb-E2F1, and CDK-beta-catenin in colorectal cancer","3/604","16/9131",0.0847242388733963,0.274082912755437,0.215377933557108,"182/1466/5366",3
"WP4523","WP4523","Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism","3/604","16/9131",0.0847242388733963,0.274082912755437,0.215377933557108,"1528/3290/9563",3
"WP5412","WP5412","8q11.23 (RB1CC1) copy number variation","3/604","16/9131",0.0847242388733963,0.274082912755437,0.215377933557108,"2185/7186/11345",3
"WP3850","WP3850","Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling","5/604","36/9131",0.0861911303776506,0.277441101265373,0.21801684196075,"4790/5728/8744/1977/4088",5
"WP4534","WP4534","Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms","6/604","47/9131",0.0877075485188852,0.280924672731281,0.220754277929242,"60/5062/9448/3694/6788/10971",6
"WP5495","WP5495","Targeting YAP in pancreatic ductal adenocarcinoma (PDAC)","4/604","26/9131",0.0891122687378684,0.282625675850004,0.222090948402428,"55233/51422/6789/6788",4
"WP581","WP581","EPO receptor signaling","4/604","26/9131",0.0891122687378684,0.282625675850004,0.222090948402428,"5604/5788/6776/8651",4
"WP236","WP236","Adipogenesis","13/604","131/9131",0.0923331084028122,0.291412298227412,0.228995591058066,"6095/8609/6256/2308/1026/9612/64900/6776/4088/1316/4616/8651/4209",13
"WP722","WP722","Serotonin HTR1 group and FOS pathway","5/604","37/9131",0.0945251801201413,0.296882483192871,0.23329413386831,"3708/2776/5604/4214/5290",5
"WP2882","WP2882","Nuclear receptors meta-pathway","27/604","314/9131",0.0960105738898359,0.300091020805429,0.235815444641702,"7128/6397/7295/330/11214/57007/10257/9792/6256/2308/10728/6513/51426/8202/6533/11140/11309/23764/57491/9588/6337/79056/7049/2950/3303/4616/329",27
"WP22","WP22","IL9 signaling","3/604","17/9131",0.0980380695814404,0.301977353202651,0.237297749283137,"3716/5604/6776",3
"WP3678","WP3678","Amplification and expansion of oncogenic pathways as metastatic traits","3/604","17/9131",0.0980380695814404,0.301977353202651,0.237297749283137,"7852/7412/182",3
"WP4493","WP4493","Cells and molecules involved in local acute inflammatory response ","3/604","17/9131",0.0980380695814404,0.301977353202651,0.237297749283137,"3383/6404/7412",3
"WP3613","WP3613","Photodynamic therapy-induced unfolded protein response","4/604","27/9131",0.0994144918580597,0.301977353202651,0.237297749283137,"7324/22926/7184/467",4
"WP3845","WP3845","Canonical and non-canonical Notch signaling","4/604","27/9131",0.0994144918580597,0.301977353202651,0.237297749283137,"182/84441/3516/23462",4
"WP5183","WP5183","SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction","4/604","27/9131",0.0994144918580597,0.301977353202651,0.237297749283137,"6195/4790/7187/7189",4
"WP4963","WP4963","p53 transcriptional gene network","10/604","96/9131",0.101628593954932,0.30595070319659,0.240420059617592,"51422/3383/54541/5728/84129/6513/51426/1026/5366/407040",10
"WP5289","WP5289","Axon guidance","8/604","72/9131",0.101668317136425,0.30595070319659,0.240420059617592,"7852/7474/8482/5578/1808/2047/5879/5361",8
"WP2447","WP2447","Amyotrophic lateral sclerosis (ALS)","5/604","38/9131",0.103253935159465,0.306446312147586,0.240809515606091,"596/598/79139/6506/5879",5
"WP3614","WP3614","Photodynamic therapy-induced HIF-1 survival signaling","5/604","38/9131",0.103253935159465,0.306446312147586,0.240809515606091,"598/597/6513/574406/5366",5
"WP5215","WP5215","Targeted agents in triple negative breast cancer","5/604","38/9131",0.103253935159465,0.306446312147586,0.240809515606091,"5728/5604/8821/10000/5290",5
"WP61","WP61","Notch signaling","7/604","61/9131",0.106436597481378,0.314449673837677,0.247098661780848,"4790/1026/182/84441/9612/3516/23462",7
"WP2583","WP2583","T cell receptor and co-stimulatory signaling","4/604","28/9131",0.110240652731398,0.31923796320929,0.250861362124928,"5578/4790/4792/5728",4
"WP5092","WP5092","Interactions of natural killer cells in pancreatic cancer","4/604","28/9131",0.110240652731398,0.31923796320929,0.250861362124928,"5817/6351/2308/201633",4
"WP5121","WP5121","Sphingolipid metabolism in senescence","4/604","28/9131",0.110240652731398,0.31923796320929,0.250861362124928,"5578/1901/1026/79603",4
"WP2263","WP2263","Androgen receptor network in prostate cancer","11/604","110/9131",0.110524426211563,0.31923796320929,0.250861362124928,"596/10397/2185/10257/2549/5728/3716/5604/5829/4088/5290",11
"WP4874","WP4874","CAMKK2 pathway","11/604","110/9131",0.110524426211563,0.31923796320929,0.250861362124928,"5209/3600/3383/51316/8874/7412/6513/22861/340348/10645/5879",11
"WP524","WP524","G13 signaling","5/604","39/9131",0.112366949441791,0.322201040786172,0.253189787195512,"10672/5293/5216/5879/5290",5
"WP4540","WP4540","Hippo signaling regulation","10/604","98/9131",0.112546267724382,0.322201040786172,0.253189787195512,"51422/5578/2322/5156/5581/5576/2776/4088/6788/5879",10
"WP3863","WP3863","T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection","7/604","62/9131",0.113558590077186,0.323666994625284,0.254341752874013,"4790/4792/3937/5604/29851/5788/5290",7
"WP2004","WP2004","miR-targeted genes in lymphocytes","39/604","486/9131",0.118396769917522,0.334782395018629,0.263076379718536,"27154/5795/3918/596/7474/7127/5527/8992/64778/391/23129/7412/10672/114793/8202/1026/10772/574406/822/5792/1788/29957/23649/1871/27230/10114/407040/81539/8744/1977/571/1075/6935/2580/4602/1021/84823/10971/144402",39
"WP4539","WP4539","Synaptic signaling associated with autism spectrum disorder","6/604","51/9131",0.118493305192065,0.334782395018629,0.263076379718536,"51422/5728/5293/2902/10000/5290",6
"WP5222","WP5222","2q13 copy number variation syndrome","7/604","63/9131",0.120924590263938,0.336126857648564,0.264132876017663,"3554/541471/3556/8808/5879/25885/8651",7
"WP5362","WP5362","TAR syndrome","7/604","63/9131",0.120924590263938,0.336126857648564,0.264132876017663,"7852/7295/2322/4790/54541/919/84305",7
"WP4341","WP4341","Non-genomic actions of 1,25-dihydroxyvitamin D3","8/604","75/9131",0.121195227487342,0.336126857648564,0.264132876017663,"5578/4790/5581/6256/5971/3716/958/5600",8
"WP4905","WP4905","1q21.1 copy number variation syndrome","4/604","29/9131",0.121566746042912,0.336126857648564,0.264132876017663,"51422/50848/4301/9414",4
"WP5200","WP5200","Dravet syndrome","4/604","29/9131",0.121566746042912,0.336126857648564,0.264132876017663,"5578/4790/5600/5290",4
"WP1742","WP1742","TP53 network","3/604","19/9131",0.126942139266375,0.345090605484642,0.271176706172752,"596/1026/5366",3
"WP3287","WP3287","Overview of nanoparticle effects","3/604","19/9131",0.126942139266375,0.345090605484642,0.271176706172752,"596/5293/10000",3
"WP3859","WP3859","TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition","3/604","19/9131",0.126942139266375,0.345090605484642,0.271176706172752,"860/4088/10000",3
"WP5238","WP5238","Cholestasis","3/604","19/9131",0.126942139266375,0.345090605484642,0.271176706172752,"10257/6256/9414",3
"WP24","WP24","Peptide GPCRs","8/604","76/9131",0.128115972757852,0.346495362652248,0.27228058270729,"7852/643/1236/4988/4987/5021/2833/728",8
"WP45","WP45","G1 to S cell cycle control","7/604","64/9131",0.128529964507789,0.346495362652248,0.27228058270729,"4661/901/1026/23649/1871/1021/7465",7
"WP1433","WP1433","Nucleotide-binding oligomerization domain (NOD) pathway","5/604","41/9131",0.131697460497313,0.352100235296534,0.276684964855163,"4792/22861/8767/840/5879",5
"WP2636","WP2636","Common pathways underlying drug addiction","5/604","41/9131",0.131697460497313,0.352100235296534,0.276684964855163,"60/5578/2915/5604/2902",5
"WP3656","WP3656","Interleukin-1 induced activation of NF-kB","2/604","10/9131",0.138229614900251,0.365039023838622,0.28685243392834,"4790/7189",2
"WP5104","WP5104","Acquired partial lipodystrophy / Barraquer-Simons syndrome","2/604","10/9131",0.138229614900251,0.365039023838622,0.28685243392834,"629/84823",2
"WP5187","WP5187","mRNA vaccine activation of dendritic cell and induction of IFN-1","2/604","10/9131",0.138229614900251,0.365039023838622,0.28685243392834,"7098/8792",2
"WP2507","WP2507","Nanomaterial induced apoptosis","3/604","20/9131",0.142402820569893,0.368538499634882,0.289602367727403,"596/8837/840",3
"WP3640","WP3640","Imatinib and chronic myeloid leukemia","3/604","20/9131",0.142402820569893,0.368538499634882,0.289602367727403,"200734/5156/2309",3
"WP5275","WP5275","Ether lipid biosynthesis","3/604","20/9131",0.142402820569893,0.368538499634882,0.289602367727403,"79888/55711/64900",3
"WP5331","WP5331","Autophagy in pancreatic ductal adenocarcinoma","3/604","20/9131",0.142402820569893,0.368538499634882,0.289602367727403,"4790/7942/81671",3
"WP732","WP732","Serotonin receptor 2 and ELK-SRF/GATA4 signaling","3/604","20/9131",0.142402820569893,0.368538499634882,0.289602367727403,"3708/2776/5604",3
"WP2032","WP2032","Thyroid stimulating hormone (TSH) signaling","7/604","66/9131",0.144437615450598,0.370914079322716,0.291469129281497,"6195/10672/3716/2776/5604/8458/5290",7
"WP4262","WP4262","Breast cancer pathway","14/604","155/9131",0.145339601625633,0.370914079322716,0.291469129281497,"7474/5728/51426/8202/1026/5293/5604/1871/80326/1021/23462/10000/4616/5290",14
"WP3982","WP3982","miRNA regulation of p53 pathway in prostate cancer","4/604","31/9131",0.145613873489907,0.370914079322716,0.291469129281497,"5728/192668/143686/5366",4
"WP4868","WP4868","Type I interferon induction and signaling during SARS-CoV-2 infection","4/604","31/9131",0.145613873489907,0.370914079322716,0.291469129281497,"7187/3716/7098/7189",4
"WP4249","WP4249","Hedgehog signaling","5/604","43/9131",0.152408749169337,0.385996213086633,0.30332086703139,"596/409/8643/1454/408",5
"WP1403","WP1403","AMP-activated protein kinase signaling","7/604","67/9131",0.152728022488683,0.385996213086633,0.30332086703139,"5209/51422/6794/1026/10645/5293/5290",7
"WP2355","WP2355","Corticotropin-releasing hormone signaling","9/604","92/9131",0.153595479356996,0.386678113400686,0.303856713206754,"596/6925/5578/4790/4792/409/2776/408/5604",9
"WP3931","WP3931","Embryonic stem cell pluripotency pathways","11/604","118/9131",0.156714058161731,0.389794588622568,0.306305680150818,"10097/7474/5156/2549/4092/5728/3716/5293/5604/80326/10000",11
"WP2839","WP2839","Hair follicle development: organogenesis - stage 2 of 3","4/604","32/9131",0.158278974065506,0.389794588622568,0.306305680150818,"7474/860/4790/5156",4
"WP2876","WP2876","Pregnane X receptor pathway","4/604","32/9131",0.158278974065506,0.389794588622568,0.306305680150818,"10257/6256/2308/8202",4
"WP4149","WP4149","White fat cell differentiation","4/604","32/9131",0.158278974065506,0.389794588622568,0.306305680150818,"3662/6095/2308/6776",4
"WP5312","WP5312","Metabolic pathways of fibroblasts","4/604","32/9131",0.158278974065506,0.389794588622568,0.306305680150818,"2744/4017/6513/1902",4
"WP4961","WP4961","STING pathway in Kawasaki-like disease and COVID-19","3/604","21/9131",0.158448186719838,0.389794588622568,0.306305680150818,"4790/4792/3708",3
"WP2854","WP2854","Gene regulatory network modeling somitogenesis ","2/604","11/9131",0.161867120535397,0.393714387166924,0.309385909056575,"3955/145873",2
"WP3672","WP3672","lncRNA-mediated mechanisms of therapeutic resistance","2/604","11/9131",0.161867120535397,0.393714387166924,0.309385909056575,"598/1026",2
"WP5336","WP5336","Induction of autophagy and toll-like receptor signaling by graphene oxide ","2/604","11/9131",0.161867120535397,0.393714387166924,0.309385909056575,"4790/7189",2
"WP2817","WP2817","Mammary gland development: pregnancy and lactation - stage 3 of 4","5/604","44/9131",0.163244089670535,0.394100470212076,0.309689298157379,"598/5770/1977/6776/8792",5
"WP4756","WP4756","Renin-angiotensin-aldosterone system (RAAS)","5/604","44/9131",0.163244089670535,0.394100470212076,0.309689298157379,"57172/57118/51806/3708/2776",5
"WP179","WP179","Cell cycle","11/604","120/9131",0.169594795933029,0.40605224424892,0.319081158337637,"7531/8379/9126/51433/1026/1871/4088/1021/4616/10971/7465",11
"WP5158","WP5158","Urotensin-II-mediated signaling","7/604","69/9131",0.169948853608614,0.40605224424892,0.319081158337637,"596/3383/4790/7412/5728/6624/4088",7
"WP244","WP244","Alpha 6 beta 4 signaling","4/604","33/9131",0.17133270893347,0.40605224424892,0.319081158337637,"3918/5578/2549/5879",4
"WP3676","WP3676","BDNF-TrkB signaling","4/604","33/9131",0.17133270893347,0.40605224424892,0.319081158337637,"6195/2549/5604/2902",4
"WP5038","WP5038","Mitochondrial immune response to SARS-CoV-2","4/604","33/9131",0.17133270893347,0.40605224424892,0.319081158337637,"4790/7187/7098/7189",4
"WP5424","WP5424","Omega-6-fatty acids in senescence","6/604","57/9131",0.173193884198115,0.408783890835653,0.321227721912666,"10257/10728/1026/80142/2950/5600",6
"WP4758","WP4758","Nephrotic syndrome","5/604","45/9131",0.174377291738499,0.408783890835653,0.321227721912666,"11346/2013/83478/1871/2262",5
"WP5103","WP5103","Progeria-associated lipodystrophy","3/604","22/9131",0.175012577683889,0.408783890835653,0.321227721912666,"2200/4088/84823",3
"WP5194","WP5194","Synthesis of ceramides and 1-deoxyceramides","3/604","22/9131",0.175012577683889,0.408783890835653,0.321227721912666,"253782/79603/2583",3
"WP3594","WP3594","Circadian rhythm genes","17/604","201/9131",0.1769030973194,0.411713323617453,0.323529708463727,"6095/4987/5971/23596/5728/23239/7316/2776/1454/5936/134/60675/1390/8792/6550/6233/3398",17
"WP1601","WP1601","Fluoropyrimidine activity","4/604","34/9131",0.184744854767582,0.42112023264408,0.330921780471961,"51733/10257/1807/7371",4
"WP4861","WP4861","Endoplasmic reticulum stress response in coronavirus infection","5/604","46/9131",0.185791090688872,0.42112023264408,0.330921780471961,"596/26051/4659/22926/84919",5
"WP5283","WP5283","Chronic hyperglycemia impairment of neuron function","5/604","46/9131",0.185791090688872,0.42112023264408,0.330921780471961,"9313/5578/5581/6513/6652",5
"WP5408","WP5408","15q25 copy number variation","5/604","46/9131",0.185791090688872,0.42112023264408,0.330921780471961,"26052/3708/6513/2915/5151",5
"WP2290","WP2290","RalA downstream regulated genes","2/604","12/9131",0.186152065743751,0.42112023264408,0.330921780471961,"5879/5898",2
"WP5191","WP5191","Resolvin E1 and resolvin D1 signaling decrease inflammation","2/604","12/9131",0.186152065743751,0.42112023264408,0.330921780471961,"5293/5290",2
"WP5382","WP5382","TGFB / Smad signaling","2/604","12/9131",0.186152065743751,0.42112023264408,0.330921780471961,"7049/4088",2
"WP5396","WP5396","Enterohepatic circulation of bile acids","2/604","12/9131",0.186152065743751,0.42112023264408,0.330921780471961,"10257/200931",2
"WP5366","WP5366","NF1 copy number variation syndrome ","10/604","110/9131",0.19083783895819,0.425493835617624,0.334358614826832,"596/3720/3198/4661/11336/574406/4803/8726/8766/4214",10
"WP2806","WP2806","Complement system","9/604","97/9131",0.191106552988601,0.425493835617624,0.334358614826832,"5578/3383/7295/409/6404/629/728/958/4153",9
"WP2509","WP2509","Nanoparticle triggered autophagic cell death","3/604","23/9131",0.192031221020628,0.425493835617624,0.334358614826832,"596/7405/81671",3
"WP3612","WP3612","Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling","3/604","23/9131",0.192031221020628,0.425493835617624,0.334358614826832,"10257/2950/5600",3
"WP5272","WP5272","LDL- influence on CD14 and TLR4","3/604","23/9131",0.192031221020628,0.425493835617624,0.334358614826832,"4790/5971/5600",3
"WP5469","WP5469","Hallmark of cancer: metastasis and epithelial-to-mesenchymal transition","3/604","23/9131",0.192031221020628,0.425493835617624,0.334358614826832,"9839/6925/6935",3
"WP3878","WP3878","ATM signaling in development and disease ","5/604","47/9131",0.197467702851966,0.43604642916458,0.342650980698759,"4790/6794/5600/3315/84823",5
"WP1541","WP1541","Energy metabolism","5/604","48/9131",0.209388930432227,0.450328640556412,0.353874128998206,"51422/6256/2308/2309/4209",5
"WP1528","WP1528","Physiological and pathological hypertrophy of the heart","3/604","24/9131",0.209440744693745,0.450328640556412,0.353874128998206,"5581/5600/5879",3
"WP5044","WP5044","Kynurenine pathway and links to cell senescence","3/604","24/9131",0.209440744693745,0.450328640556412,0.353874128998206,"169355/2308/1026",3
"WP5074","WP5074","Kallmann syndrome","3/604","24/9131",0.209440744693745,0.450328640556412,0.353874128998206,"23129/60675/5290",3
"WP1423","WP1423","Ganglio sphingolipid metabolism","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"6489/2583",2
"WP1434","WP1434","Osteopontin signaling","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"4790/5604",2
"WP4484","WP4484","Control of immune tolerance by vasoactive intestinal peptide","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"942/941",2
"WP4628","WP4628","Aerobic glycolysis - augmented","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"6513/2023",2
"WP5299","WP5299","Ganglio series sphingolipid metabolism","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"6489/2583",2
"WP5314","WP5314","Lactate shuttle in glial cells","2/604","13/9131",0.210895793027191,0.450328640556412,0.353874128998206,"6513/6506",2
"WP1471","WP1471","Target of rapamycin signaling","4/604","36/9131",0.212521434390908,0.452307131746439,0.355428853223022,"51422/5578/54541/5879",4
"WP4396","WP4396","Nonalcoholic fatty liver disease","13/604","155/9131",0.225370775952617,0.47568025426262,0.373795758250786,"3570/51422/55967/4790/6256/7412/4092/7186/5293/840/5879/10000/5290",13
